Abbreviation,Meaning
LABA,Long-Acting Beta-2 Agonist
LAD,Left Anterior Descending (anterior interventricular artery)
LAMA,Long-Acting Muscarinic Antagonist
LATCH,"Latch, Audible swallowing, Type of nipple, Comfort, Hold"
LBL,Lymphoblastic Lymphoma/Leukemia
LBW,Lean Body Weight
LCA,Left Coronary Artery
LCL,Lateral Collateral Ligament
LCPUFA,Long-Chain PolyUnsaturated Fatty Acids 
LDH,Lactate Dehydrogenase
LDL,Low-Density Lipoprotein
LES,Lower Esophageal Sphincter
LET,"Lidocaine, Epinephrine, and Tetracaine"
LFB,Luxol Fast Blue
LFT,Liver Function Test
LGA,Large for Gestational Age
LGG,Lactobacillus rhamnosus GG
LGIT,Low Glycemic Index Diet
LGV,Lymphogranuloma Venereum
LH,Luteinizing Hormone
LM,Light Microscopy
LMA,Laryngeal Mask Airway
LMP,Last Menstrual Period
LMW,Low-Molecular Weight (heparin)
LNG,Levonorgestrel
LOC,Loss Of Consciousness
LOPS,Loss of Protective Sensation
LPL,Lymphoplasmacytic Lymphoma
LPM,Liters Per Minute
LQTS,Long QT Syndrome
LR,Likelihood Ratio
LSB,Left Sternal Border
LSC,Lung Sounds Clear
LTAC,Long-Term Acute Care
LTD,Long-Term Depression
LTG,Long-Term Goal
LTP,Long-Term Potentiation
LTR,LaryngoTracheal Reconstruction
LTRA,Leukotriene Receptor Antagonist
LV,Left Ventricle
LVAD,Left Ventricular Assist Device
LVH,Left Ventricular Hypertrophy
LVOTO,Left Ventricular Outflow Tract Obstruction
KDIGO,Kidney Disease: Improving Global Outcomes
M,Myelin sheath
M-CHAT,Modified Checklist for Autism in Toddlers
M-CSF,Macrophage Colony Stimulating Factor
m/k/d,mL/kg/day
MA,Macula Adherens
MAC,Minimum Alveolar Concentration
MACE,Malone Antegrade Continence Enema (appendicostomy)
MAHA,Microangiopathic Hemolytic Anemia
MALT,Mucosal Associated Lymphoid Tissue
MAO,Monoamine Oxidase
MAOI,Monoamine Oxidase Inhibitor
MAPCA,Multiple Aortic-Pulmonary Collateral Arteries
MAPKs,Mitogen-Activated Protein Kinases
MAPS,MI Automated Prescription System
MAR,Medication Administration Record
MART,Maintenance And Reliever Therapy (asthma)
MAS,Macrophage Activation Syndrome
MAS,Meconium Aspiration Syndrome
MCAD,Medium-chain acyl-coenzyme A Dehydrogenase (Medium-chain acyl-CoA Dehydrogenase)
MCAS,Mast Cell Activation Syndrome
MCH,Mean Corpuscular Hemoglobin
MCHC,Mean Corpuscular Hemoglobin Concentration
MCI,Mass Casualty Incident
MCL,Mantle Cell Lymphoma
MCL,Medial Collateral Ligament
MCL,Mid-Clavicular Line
MCP,Metacarpophalangeal
MCT,Medium Chain Triglycerides
MCV,Mean Corpuscular Volume
MDD,Major Depressive Disorder
MDI,Metered Dose Inhaler
MDI,Multiple Daily Injections
MDRO,MultiDrug-Resistant Organism
MDS,Meconium Drug Screen
ME,Medical Examiner
